#Frame Index,  Radius of gyration [pm]
779, 1560.0527
780, 1567.2667
781, 1573.2562
782, 1572.7283
783, 1562.6453
784, 1560.3677
785, 1554.8314
786, 1557.3659
787, 1549.0852
788, 1544.8892
789, 1567.041
790, 1566.2403
791, 1550.6925
792, 1563.115
793, 1549.8442
794, 1544.1148
795, 1556.6212
796, 1549.5582
797, 1555.2989
798, 1554.4334
799, 1563.4696
800, 1555.5317
801, 1575.6305
802, 1566.2197
803, 1587.5282
804, 1580.7891
805, 1577.5808
806, 1570.5769
807, 1570.1703
808, 1579.2363
809, 1567.6253
810, 1560.8879
811, 1569.4191
812, 1554.2159
813, 1565.7157
814, 1573.8237
815, 1569.823
816, 1567.9643
817, 1586.6754
818, 1570.1108
819, 1578.8483
820, 1569.4137
821, 1571.9598
822, 1577.7226
823, 1575.2181
824, 1565.4252
825, 1551.8895
826, 1550.4071
827, 1571.6359
828, 1560.6808
829, 1565.0767
830, 1550.6277
831, 1552.4808
832, 1561.0057
833, 1574.1714
834, 1554.6208
835, 1564.2272
836, 1557.5271
837, 1579.6917
838, 1554.2131
839, 1556.9964
840, 1551.5654
841, 1567.2001
842, 1554.2089
843, 1552.1136
844, 1561.1881
845, 1553.3087
846, 1555.5404
847, 1555.7666
848, 1564.4079
849, 1546.8775
850, 1557.4477
851, 1550.7839
852, 1551.3171
853, 1545.4651
854, 1542.9313
855, 1544.5538
856, 1539.7315
857, 1547.4477
858, 1544.9729
859, 1540.0053
860, 1545.6586
861, 1541.2071
862, 1548.1266
863, 1555.5551
864, 1554.2796
865, 1553.7594
866, 1553.5037
867, 1548.6434
868, 1535.958
869, 1534.6478
870, 1548.9478
871, 1542.1843
872, 1534.6914
873, 1530.8511
874, 1538.455
875, 1538.2412
876, 1537.6193
877, 1535.0043
878, 1537.5324
879, 1529.992
880, 1530.886
881, 1541.1523
882, 1545.9489
883, 1534.0913
884, 1526.8684
885, 1535.6338
886, 1539.641
887, 1543.7018
888, 1543.0591
889, 1539.5866
890, 1548.6743
891, 1533.0788
892, 1541.1557
893, 1537.1319
894, 1532.5136
895, 1541.2242
896, 1526.3827
897, 1532.2295
898, 1538.9083
899, 1534.3965
900, 1531.8367
901, 1532.7319
902, 1526.598
903, 1532.5819
904, 1532.2315
905, 1537.5399
906, 1536.0422
907, 1535.3666
908, 1528.0352
909, 1541.2108
910, 1536.4295
911, 1539.8725
912, 1543.1026
913, 1535.4075
914, 1536.3898
915, 1539.9068
916, 1534.2144
917, 1537.2469
918, 1528.5533
919, 1526.9423
920, 1529.4462
921, 1530.5159
922, 1527.2918
923, 1533.9107
924, 1536.751
925, 1536.3252
926, 1535.0298
927, 1540.6427
928, 1540.4935
929, 1533.229
930, 1541.3109
931, 1530.7735
932, 1537.1247
933, 1531.5578
934, 1534.3735
935, 1528.5556
936, 1522.9576
937, 1528.1069
938, 1530.0292
939, 1530.2134
940, 1525.937
941, 1529.5839
942, 1532.49
943, 1525.4089
944, 1527.2109
945, 1536.1788
946, 1530.5374
947, 1529.4632
948, 1524.4873
949, 1525.669
950, 1524.9777
951, 1530.1782
952, 1527.0159
953, 1526.8986
954, 1532.9214
955, 1536.1594
956, 1520.7114
957, 1525.3099
958, 1523.7366
959, 1518.3264
960, 1519.8919
961, 1525.1061
962, 1525.3064
963, 1516.2504
964, 1521.1869
965, 1520.4961
966, 1516.8828
967, 1515.9482
968, 1532.0551
969, 1519.5509
970, 1521.1008
971, 1525.0797
972, 1518.9066
973, 1520.6486
974, 1519.2772
975, 1523.569
