Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
307,O,2.500,3.500,30.000,2
308,O,2.500,3.500,30.000,5
309,O,2.500,3.500,30.000,5
310,O,2.500,3.500,30.000,3
311,O,2.500,3.500,30.000,2
312,O,2.500,3.500,30.000,2
313,O,2.500,3.500,30.000,3
314,O,2.500,3.500,30.000,1
315,O,2.500,3.500,30.000,2
316,O,2.500,3.500,30.000,2
317,O,2.500,3.500,30.000,2
318,O,2.500,3.500,30.000,5
319,O,2.500,3.500,30.000,2
320,O,2.500,3.500,30.000,2
321,O,2.500,3.500,30.000,1
322,O,2.500,3.500,30.000,4
323,O,2.500,3.500,30.000,2
324,O,2.500,3.500,30.000,2
325,O,2.500,3.500,30.000,3
326,O,2.500,3.500,30.000,6
327,O,2.500,3.500,30.000,4
328,O,2.500,3.500,30.000,3
329,O,2.500,3.500,30.000,3
330,O,2.500,3.500,30.000,2
331,O,2.500,3.500,30.000,1
332,O,2.500,3.500,30.000,3
333,O,2.500,3.500,30.000,4
334,O,2.500,3.500,30.000,5
335,O,2.500,3.500,30.000,4
336,O,2.500,3.500,30.000,1
337,O,2.500,3.500,30.000,5
338,O,2.500,3.500,30.000,0
339,O,2.500,3.500,30.000,4
340,O,2.500,3.500,30.000,5
341,O,2.500,3.500,30.000,5
342,O,2.500,3.500,30.000,7
343,O,2.500,3.500,30.000,3
344,O,2.500,3.500,30.000,0
345,O,2.500,3.500,30.000,3
346,O,2.500,3.500,30.000,2
347,O,2.500,3.500,30.000,3
348,O,2.500,3.500,30.000,4
349,O,2.500,3.500,30.000,6
350,O,2.500,3.500,30.000,3
351,O,2.500,3.500,30.000,3
352,O,2.500,3.500,30.000,7
353,O,2.500,3.500,30.000,3
354,O,2.500,3.500,30.000,6
355,O,2.500,3.500,30.000,6
356,O,2.500,3.500,30.000,3
357,O,2.500,3.500,30.000,3
358,O,2.500,3.500,30.000,3
359,O,2.500,3.500,30.000,3
360,O,2.500,3.500,30.000,1
361,O,2.500,3.500,30.000,3
362,O,2.500,3.500,30.000,2
363,O,2.500,3.500,30.000,2
364,O,2.500,3.500,30.000,2
365,O,2.500,3.500,30.000,1
366,O,2.500,3.500,30.000,4
