Frame, Element Type, H-Acceptor dist / Å, Donor-Acceptor dist / Å, Angle cutoff / °, Number of Hydrogen Bonds
259,O,2.500,3.500,30.000,29
260,O,2.500,3.500,30.000,30
261,O,2.500,3.500,30.000,23
262,O,2.500,3.500,30.000,32
263,O,2.500,3.500,30.000,24
264,O,2.500,3.500,30.000,24
265,O,2.500,3.500,30.000,17
266,O,2.500,3.500,30.000,35
267,O,2.500,3.500,30.000,30
268,O,2.500,3.500,30.000,33
269,O,2.500,3.500,30.000,37
270,O,2.500,3.500,30.000,33
271,O,2.500,3.500,30.000,21
272,O,2.500,3.500,30.000,30
273,O,2.500,3.500,30.000,34
274,O,2.500,3.500,30.000,30
275,O,2.500,3.500,30.000,30
276,O,2.500,3.500,30.000,35
277,O,2.500,3.500,30.000,27
278,O,2.500,3.500,30.000,28
279,O,2.500,3.500,30.000,26
280,O,2.500,3.500,30.000,22
281,O,2.500,3.500,30.000,12
282,O,2.500,3.500,30.000,26
283,O,2.500,3.500,30.000,29
284,O,2.500,3.500,30.000,24
285,O,2.500,3.500,30.000,37
286,O,2.500,3.500,30.000,32
287,O,2.500,3.500,30.000,25
288,O,2.500,3.500,30.000,27
289,O,2.500,3.500,30.000,29
290,O,2.500,3.500,30.000,26
291,O,2.500,3.500,30.000,30
292,O,2.500,3.500,30.000,26
293,O,2.500,3.500,30.000,31
294,O,2.500,3.500,30.000,31
295,O,2.500,3.500,30.000,17
296,O,2.500,3.500,30.000,26
297,O,2.500,3.500,30.000,30
298,O,2.500,3.500,30.000,32
299,O,2.500,3.500,30.000,26
300,O,2.500,3.500,30.000,21
301,O,2.500,3.500,30.000,32
302,O,2.500,3.500,30.000,32
303,O,2.500,3.500,30.000,35
304,O,2.500,3.500,30.000,23
305,O,2.500,3.500,30.000,36
306,O,2.500,3.500,30.000,29
307,O,2.500,3.500,30.000,27
308,O,2.500,3.500,30.000,31
309,O,2.500,3.500,30.000,30
310,O,2.500,3.500,30.000,34
311,O,2.500,3.500,30.000,22
312,O,2.500,3.500,30.000,32
313,O,2.500,3.500,30.000,33
314,O,2.500,3.500,30.000,21
315,O,2.500,3.500,30.000,38
316,O,2.500,3.500,30.000,27
317,O,2.500,3.500,30.000,30
318,O,2.500,3.500,30.000,34
319,O,2.500,3.500,30.000,27
320,O,2.500,3.500,30.000,33
321,O,2.500,3.500,30.000,28
322,O,2.500,3.500,30.000,24
323,O,2.500,3.500,30.000,21
324,O,2.500,3.500,30.000,27
325,O,2.500,3.500,30.000,33
326,O,2.500,3.500,30.000,32
327,O,2.500,3.500,30.000,27
328,O,2.500,3.500,30.000,29
329,O,2.500,3.500,30.000,29
330,O,2.500,3.500,30.000,24
331,O,2.500,3.500,30.000,36
332,O,2.500,3.500,30.000,32
333,O,2.500,3.500,30.000,27
334,O,2.500,3.500,30.000,24
335,O,2.500,3.500,30.000,34
336,O,2.500,3.500,30.000,26
337,O,2.500,3.500,30.000,24
338,O,2.500,3.500,30.000,29
339,O,2.500,3.500,30.000,29
340,O,2.500,3.500,30.000,31
341,O,2.500,3.500,30.000,27
342,O,2.500,3.500,30.000,25
343,O,2.500,3.500,30.000,29
344,O,2.500,3.500,30.000,33
345,O,2.500,3.500,30.000,29
346,O,2.500,3.500,30.000,30
347,O,2.500,3.500,30.000,26
348,O,2.500,3.500,30.000,29
349,O,2.500,3.500,30.000,25
350,O,2.500,3.500,30.000,27
351,O,2.500,3.500,30.000,18
352,O,2.500,3.500,30.000,35
353,O,2.500,3.500,30.000,35
354,O,2.500,3.500,30.000,28
355,O,2.500,3.500,30.000,27
356,O,2.500,3.500,30.000,26
357,O,2.500,3.500,30.000,32
358,O,2.500,3.500,30.000,25
359,O,2.500,3.500,30.000,27
360,O,2.500,3.500,30.000,29
361,O,2.500,3.500,30.000,29
362,O,2.500,3.500,30.000,28
363,O,2.500,3.500,30.000,33
364,O,2.500,3.500,30.000,23
365,O,2.500,3.500,30.000,26
366,O,2.500,3.500,30.000,26
367,O,2.500,3.500,30.000,40
368,O,2.500,3.500,30.000,37
369,O,2.500,3.500,30.000,32
370,O,2.500,3.500,30.000,26
371,O,2.500,3.500,30.000,28
372,O,2.500,3.500,30.000,32
373,O,2.500,3.500,30.000,28
374,O,2.500,3.500,30.000,29
375,O,2.500,3.500,30.000,33
376,O,2.500,3.500,30.000,27
377,O,2.500,3.500,30.000,25
378,O,2.500,3.500,30.000,30
379,O,2.500,3.500,30.000,38
380,O,2.500,3.500,30.000,36
381,O,2.500,3.500,30.000,28
382,O,2.500,3.500,30.000,41
383,O,2.500,3.500,30.000,37
384,O,2.500,3.500,30.000,31
385,O,2.500,3.500,30.000,37
386,O,2.500,3.500,30.000,22
387,O,2.500,3.500,30.000,36
388,O,2.500,3.500,30.000,36
389,O,2.500,3.500,30.000,34
390,O,2.500,3.500,30.000,42
391,O,2.500,3.500,30.000,25
392,O,2.500,3.500,30.000,35
393,O,2.500,3.500,30.000,32
394,O,2.500,3.500,30.000,33
395,O,2.500,3.500,30.000,22
396,O,2.500,3.500,30.000,27
397,O,2.500,3.500,30.000,31
398,O,2.500,3.500,30.000,33
