#Frame Index,  Radius of gyration [pm]
539, 1828.255
540, 1818.2935
541, 1838.9754
542, 1830.8586
543, 1805.67
544, 1773.1912
545, 1773.908
546, 1777.7656
547, 1780.6547
548, 1793.4658
549, 1787.2479
550, 1761.2531
551, 1759.3322
552, 1765.8277
553, 1817.0783
554, 1780.9168
555, 1755.9744
556, 1792.1453
557, 1741.8561
558, 1770.9416
559, 1766.4855
560, 1776.3649
561, 1770.9271
562, 1779.7746
563, 1816.23
564, 1777.202
565, 1827.7213
566, 1805.2933
567, 1883.8388
568, 1839.5291
569, 1875.7419
570, 1874.1695
571, 1788.4407
572, 1804.6255
573, 1842.8422
574, 1803.8837
575, 1807.6453
576, 1786.5634
577, 1782.5089
578, 1829.3871
579, 1775.7885
580, 1779.0624
581, 1772.0117
582, 1765.1681
583, 1774.9658
584, 1807.7652
585, 1779.2458
586, 1787.6708
587, 1836.6476
588, 1796.2861
589, 1808.5937
590, 1804.0735
591, 1814.9192
592, 1807.5646
593, 1818.1869
594, 1793.6349
595, 1806.2275
596, 1804.582
597, 1767.7616
598, 1770.2845
599, 1764.4908
600, 1804.7525
601, 1743.8627
602, 1777.7258
603, 1761.6753
604, 1747.9788
605, 1787.2501
606, 1764.1304
607, 1785.6226
608, 1804.6825
609, 1766.9488
610, 1774.0926
611, 1806.5617
612, 1762.6736
613, 1813.9276
614, 1784.5132
615, 1772.2169
616, 1774.8509
617, 1785.4296
618, 1804.2767
619, 1799.0343
620, 1759.0493
621, 1756.3082
622, 1760.2692
623, 1753.3395
624, 1752.2994
625, 1766.4367
626, 1738.0665
627, 1735.428
628, 1736.7259
629, 1752.1384
630, 1744.2546
631, 1755.1014
632, 1751.9102
633, 1753.8839
634, 1745.4462
635, 1748.0066
636, 1734.1646
637, 1728.1147
638, 1760.5432
639, 1769.9928
640, 1756.1639
641, 1759.6259
642, 1748.3321
643, 1775.4089
644, 1765.0517
645, 1743.2421
646, 1743.0222
647, 1744.0511
648, 1739.717
649, 1743.0566
650, 1749.8528
651, 1763.8907
652, 1768.1638
653, 1758.9013
654, 1744.533
655, 1728.1983
656, 1747.4697
657, 1728.9332
658, 1745.5609
659, 1715.5783
660, 1722.8603
661, 1712.9699
662, 1717.5333
663, 1721.9162
664, 1724.7854
665, 1735.8529
666, 1734.2158
667, 1729.4991
668, 1725.8153
669, 1708.9959
670, 1704.9195
671, 1712.0245
672, 1730.6404
673, 1731.394
674, 1724.501
675, 1728.3244
676, 1728.1337
677, 1707.7582
678, 1713.7937
679, 1718.3921
680, 1722.1807
681, 1722.6668
682, 1718.005
683, 1748.5723
684, 1717.0625
685, 1733.9892
686, 1735.9414
687, 1730.0098
688, 1732.9962
689, 1732.6381
690, 1726.0021
691, 1736.3973
692, 1743.7028
693, 1731.7376
694, 1732.889
695, 1737.8902
696, 1749.3107
697, 1757.9292
698, 1765.19
699, 1761.0168
700, 1793.4433
701, 1761.0846
702, 1746.9076
703, 1758.8056
704, 1748.1517
705, 1767.1628
706, 1754.0189
707, 1747.606
708, 1748.5714
709, 1747.1132
710, 1774.0947
711, 1755.2635
712, 1751.2203
713, 1730.708
714, 1731.7979
715, 1737.2493
716, 1737.8452
717, 1729.5874
718, 1769.3012
719, 1733.8884
720, 1737.1913
721, 1761.2896
722, 1759.4786
723, 1731.875
724, 1742.053
725, 1740.4966
726, 1741.2832
727, 1729.6682
728, 1727.9119
729, 1729.2241
730, 1736.7308
731, 1740.1425
732, 1734.406
733, 1721.8672
734, 1724.2458
735, 1710.3798
736, 1744.6767
737, 1725.5783
738, 1725.0004
739, 1736.1976
740, 1728.1426
741, 1721.724
742, 1736.9406
743, 1724.5931
744, 1705.6257
745, 1706.0544
746, 1717.5772
747, 1723.4982
748, 1721.0954
749, 1727.6279
750, 1727.5125
751, 1724.6624
752, 1708.3751
753, 1717.7733
754, 1704.0528
755, 1700.9341
756, 1701.4814
757, 1706.3484
758, 1712.0894
759, 1718.9188
760, 1710.204
761, 1711.6395
762, 1708.5171
763, 1705.1772
764, 1691.849
765, 1689.1313
766, 1707.693
767, 1704.8085
768, 1704.8788
769, 1704.6593
770, 1700.5474
771, 1710.1459
772, 1688.7855
773, 1685.6058
774, 1698.9991
775, 1698.0965
776, 1716.8303
777, 1709.2309
778, 1699.147
779, 1704.2152
780, 1712.6622
781, 1705.1406
782, 1698.2185
783, 1692.9367
784, 1692.6515
785, 1698.4935
786, 1697.8591
787, 1691.0219
788, 1695.5447
789, 1707.9197
790, 1704.9351
791, 1691.6865
792, 1699.6062
793, 1700.5026
794, 1701.1485
795, 1695.033
